id,screen_name
920684771595948032,AnaMariaMardon5
1141009183,Roroperez1Perez
920681583799087105,SoyMiltonMillas
920679792365719552,GiselaChaparro5
920680105759911937,mipaseoporelmun
909206357739319296,Ricardo10068460
920678366952542208,DeliaUriol2
847227266975191042,Francojajor1994
714834832514281472,Apis_AG
1081344168,Sr_David_
920674882786119680,EitelGustavo
137439539,d_manriquez_z
51758851,makosmik
920675362140499970,picantisimo_
182373274,backdraft_22
17488605,yerkos
725298554726670336,a_guilietta
181380139,EricApablaza
920669097716867073,lilymarlenvare9
915744610135273472,Jaime70306272
32261427,Valecabezasm
440283694,jeanpi_rojas
491308923,GMAILELVIA
366376715,lillo_c
1891526155,rodrigo_buston
917112085418594305,anbric83
306640949,s_rivadeneira
920659576432812032,mam_lizeth
917939606808662017,vitoln
920657416890585088,BastianZ15
827028132,AndreaRNL
104298660,deejay_s
920654300111568896,matiasbarrazav
920653504808738816,PilarcitaNo
877242782611628033,felipe_gy
920653049357533184,BonillaJoako
920650954415865856,Chaparr33116408
861000772498190337,Sofia_n_j
1333839084,REROCA63
3342180315,JCerdaFernandez
191441616,Marcelotitomuno
920649644237049857,Cristia59624638
2766678480,manilito22
134491141,Fabiaaantastico
827871662938914817,cnat1111
80856277,cristopher1621
956441491,dqf28
359728064,csegovial
920644519791644672,Rata18026202
57722550,jesus2803
59615456,The_Indignos
120186155,robertoriosdiaz
73534029,Luk0s
917510586270969862,politafreak
2886048837,Metalero_XII
877519413213376512,BraulioFlores95
917104738268794880,Cristia97022386
875808952495349765,Auradtchile
604156878,david_ponce77
920630023077416960,Bambatta1
118588366,kellyjusticia
794137136282955777,jjosshee
893103934969188352,NachoSa82019716
151264954,EricaGalaz
id,screen_name
920626746151653377,eaguiman
191097383,DiegoF_DiazG
3295778458,Alexmujh
920625076956991489,Julian44876549
920621499001819138,vives_th
917798898986573825,leonard05016111
860474357189144580,Lreyescuevas
920623165386166273,Nora61398865
252106448,Erowin1978
920618720279527424,cata_orellana2
34139913,fmedinas
903078788237492224,JavierMandiola1
920618838970064896,Sindicato1zofri
920618942896525312,ElenaUribe23
9636042,cecilia__duran
2172246472,lalochile35
3719074335,LuisMol264
899664213966245888,MrGonza13
71438956,Rmardonesr
860516565791506433,GatosxTeillier
498361458,pachito321
920604542638620672,Cristin51618253
1711198267,agustin44842357
916473633123512320,410arq
915228840456282112,Fdo88302807
89691053,franfuenza
264231630,carolinalobos
4611737367,edyuqui
920600610210242560,CorreaNayelis
735634749021138946,marcepardobece1
259854938,ccricont
2987751309,camila2097
902892404579205122,GiselleHidalg11
918051249030909952,SofiaBe85770299
139171939,johancabezas
588326374,jackiejullianb
2431311569,cfabianrr
915527989273726976,DFonseca_IX
110007011,oaservis
709120226147897344,darcqlife
172865628,villano1974
731458070853894144,HsepulvedaeBeto
2444550174,ASchneiderBW
132995812,francoaranda
920582557498044416,Andrea65230268
1720368078,PilarCanalesV
920575554012766209,catalina_marq
71376192,nataliamarty
755945266004516868,jaimewido
701817028076765184,lopez_vierusa
880613308461703169,laFeaSanchez
1262872968,LatAmFr
920539121474564097,LEOVILLEGASH
981577632,Lirl_Jenkins
920536502098124800,Miningport2017
874978133639921668,oso_tebo
327665891,averonicaramos
1931842543,YusufGomez
2151627056,BOlivaresZ
257030138,Alexis_Cat07
66901814,JMsanchezFranco
851990872086515713,andres_elia9
736003575080472577,soyarlei
2908231048,carlosop2014
125435669,katakappacko
919057571671048192,purelove126
277811855,MorregoM
38322525,germandepablo
822453825390989313,vcampanilo
323647368,Beyonder666
223013863,Barich9
1231576789,munbecker
797974799620435968,Juanpabl_s
920507009958580225,LupitaF59045491
110621006,Sebass011
902357603736592384,pcpablorocks
242194571,NAXHAROCK
102762806,FelipeeFica
898717816727248896,verofer_02
920501259702079490,mehboob_q
1419242904,nsilva_99
205977482,CADGUZMAN
891730188144390145,JavierElguetaR
920496297500729344,DannyBeckham2
3256530652,MaJoRibera
3672893772,rosaquezada_z
863697485524500480,Gaboottooxx
2816637533,NicojonesPUCV
140622648,patricioferrer
920492278656983040,LeoVarg88329660
631793372,CarolinaPer28
2376442916,Luisa_Delc
787506920,Claudio_Salas_
920480931382743040,alexis_santys
920489881893244928,marcela_nanco
1869407462,Jarenascampo
201899754,killers30
133122198,Franciscosucre
825059991736434689,CristianBobad18
820250300,Repetto074
id,screen_name
920487044907962368,oM4R10o
212678320,clau_catha
920486050723659776,Yani_2913
2382601187,C_Rojas_R
2475894511,JHONNYXDD
885720187,ignaciohid
2351764459,bjoerntheh
2409857935,gabygutierrez40
183283448,heatcliffm
229987185,VMDieguez
753459287511425024,AntofagastaDe
920482006982676480,Raquelc81003861
323583563,BarbaraDiazI
367101290,sussisabella
193969356,catalinamunozg
351289184,cncortesr
147652794,Misaeltorresp
305990656,avillamarg
196852941,wasabiti
3351465513,edu_famosa_gb
805479316188446720,JuaneteP86
59582037,czromerob
103486945,pedrocarrascoa
920483894197186560,Jonatha85134377
380073327,susser88
132022526,AleVidalM
883846757691600898,Manolovega04
